Product,State,Quantity
Almond,UP,5
Almond,TN,1
Almond,Ontario,8
Almond,,2
Almond,GJ,5
Almond,AS,3
Ankle bands,TN,1
Ankle bands,Ontario,8
Ankle bands,,5
Ankle bands,KA,3
Ankle bands,GJ,7
Beets,UP,5
Beets,PJ,4
Beets,Ontario,8
Beets,,4
Beets,KA,2
Beets,DL,1
Black grapes,UP,1
Black grapes,PJ,8
Black grapes,Ontario,8
Black grapes,,2
Black grapes,MP,1
Black grapes,GJ,3
Black grapes,AP,1
Bread,UP,1
Bread,Ontario,8
Bread,,2
Bread,KA,4
Bread,GJ,3
Bread,DL,5
Bread,AP,1
Broom,PJ,3
Broom,Ontario,8
Broom,,5
Broom,KA,1
Broom,GJ,6
Broom,CH,1
Butter,UP,7
Butter,TN,3
Butter,Ontario,8
Butter,,2
Butter,MP,1
Butter,KA,1
Butter,GJ,1
Carrots,UP,4
Carrots,TN,2
Carrots,Ontario,8
Carrots,,4
Carrots,GJ,4
Carrots,DL,1
Cauliflower,TN,3
Cauliflower,RJ,1
Cauliflower,Ontario,8
Cauliflower,,6
Cauliflower,GJ,5
CD ROMS,UP,3
CD ROMS,PJ,1
CD ROMS,Ontario,8
CD ROMS,,5
CD ROMS,MP,1
CD ROMS,GJ,4
CD ROMS,AS,1
Chicken,UP,6
Chicken,PJ,4
Chicken,Ontario,8
Chicken,MP,2
Chicken,KA,1
Chicken,GJ,1
Chicken,AS,1
Chicken whole,UP,3
Chicken whole,PJ,4
Chicken whole,Ontario,8
Chicken whole,OR,1
Chicken whole,,3
Chicken whole,GJ,3
Chicken whole,AS,1
Chocolates HAK,UP,1
Chocolates HAK,Ontario,5
Chocolates HAK,,5
Chocolates HAK,KA,4
Chocolates HAK,GJ,4
Chocolates HAK,DL,4
Coffee ground,UP,3
Coffee ground,PJ,3
Coffee ground,Ontario,5
Coffee ground,,3
Coffee ground,KA,3
Coffee ground,DL,8
Coke,UP,9
Coke,PJ,4
Coke,Ontario,5
Coke,,1
Coke,MP,1
Coke,KA,3
Coke,GJ,3
Cookies,UP,1
Cookies,Ontario,5
Cookies,,1
Cookies,KA,16
Cookies,GJ,1
Cookies,DL,3
Drumsticks,UP,8
Drumsticks,PJ,1
Drumsticks,Ontario,5
Drumsticks,,4
Drumsticks,KA,3
Drumsticks,GJ,6
Drumsticks,CH,1
Electric guitar,UP,6
Electric guitar,Ontario,7
Electric guitar,MP,3
Electric guitar,KA,1
Electric guitar,GJ,3
Electric guitar,AS,3
Electrical Plug,UP,4
Electrical Plug,TN,6
Electrical Plug,Ontario,8
Electrical Plug,,1
Electrical Plug,KA,1
Electrical Plug,GJ,9
Fishing net,UP,3
Fishing net,TN,4
Fishing net,Ontario,8
Fishing net,,3
Fishing net,KA,10
Fishing net,GJ,1
Fishing net,BH,1
Flute,TN,3
Flute,Ontario,8
Flute,,4
Flute,KA,13
Flute,GJ,2
Forks,UP,1
Forks,PJ,10
Forks,Ontario,8
Forks,,4
Forks,GJ,3
Forks,AS,1
Forks,AP,3
Green grapes,UP,4
Green grapes,PJ,3
Green grapes,Ontario,8
Green grapes,,13
Green grapes,MP,1
Green grapes,AS,1
Hair net,UP,1
Hair net,PJ,3
Hair net,Ontario,8
Hair net,,6
Hair net,GJ,11
Hair net,AS,1
Leather shoes,Ontario,5
Leather shoes,,4
Leather shoes,MP,1
Leather shoes,KA,3
Leather shoes,GJ,6
Leather shoes,DL,3
Milk,UP,1
Milk,PJ,2
Milk,Ontario,5
Milk,,1
Milk,KA,3
Milk,GJ,1
Milk,DL,9
Mountain Dew,UP,6
Mountain Dew,PJ,3
Mountain Dew,Ontario,5
Mountain Dew,,3
Mountain Dew,KA,3
Mountain Dew,GJ,2
Multivitamins,PJ,1
Multivitamins,Ontario,5
Multivitamins,,3
Multivitamins,KA,10
Multivitamins,GJ,1
Multivitamins,DL,2
Oranges,UP,3
Oranges,PJ,1
Oranges,Ontario,5
Oranges,,1
Oranges,KA,6
Oranges,GJ,6
Pants,UP,4
Pants,TN,4
Pants,Ontario,8
Pants,,3
Pants,GJ,3
Papaya,UP,2
Papaya,TN,3
Papaya,Ontario,8
Papaya,,4
Papaya,KA,4
Papaya,GJ,1
Pencils,UP,1
Pencils,TN,1
Pencils,Ontario,8
Pencils,,5
Pencils,KA,6
Pencils,GJ,1
Pens,UP,1
Pens,PJ,3
Pens,Ontario,8
Pens,,2
Pens,MP,3
Pens,GJ,2
Pens,AP,3
Piston Rings,UP,5
Piston Rings,PJ,2
Piston Rings,Ontario,8
Piston Rings,,7
Playing cards,PJ,2
Playing cards,Ontario,8
Playing cards,,5
Playing cards,GJ,4
Playing cards,CH,3
Poptarts,Ontario,7
Poptarts,,2
Poptarts,MP,3
Poptarts,KA,4
Poptarts,GJ,4
Poptarts,DL,2
Potato chips,TN,1
Potato chips,PJ,1
Potato chips,Ontario,7
Potato chips,,3
Potato chips,KA,1
Potato chips,GJ,3
Potato chips,DL,6
Running Shoes,UP,3
Running Shoes,PJ,1
Running Shoes,Ontario,7
Running Shoes,,4
Running Shoes,KA,1
Running Shoes,GJ,6
Shaving Gel,PJ,3
Shaving Gel,Ontario,7
Shaving Gel,,4
Shaving Gel,KA,4
Shaving Gel,DL,1
Shaving Gel,AS,3
Silver knives,UP,2
Silver knives,Ontario,7
Silver knives,MP,1
Silver knives,KA,4
Silver knives,GJ,5
Silver knives,AS,3
Spark Plugs,UP,5
Spark Plugs,TN,1
Spark Plugs,Ontario,8
Spark Plugs,,3
Spark Plugs,GJ,2
Spark Plugs,AS,3
Spice and Herbs,UP,1
Spice and Herbs,TN,1
